ticker,Año,Dividendos,Precio_Cierre_Año,Dividend_Yield
ACS.MC,2020,1.9899999999999998,20.16,0.0987
ACS.MC,2021,1.72,18.79,0.0915
ACS.MC,2022,2.0,23.32,0.0858
ACS.MC,2023,1.96,37.36,0.0525
ACS.MC,2024,2.02,47.99,0.0421
ACS.MC,2025,0.45,56.65,0.0079
ACX.MC,2020,0.6,7.01,0.0856
ACX.MC,2021,0.5,9.23,0.0542
ACX.MC,2022,0.5,7.92,0.0631
ACX.MC,2023,0.6,9.69,0.0619
ACX.MC,2024,0.62,9.16,0.0677
ACX.MC,2025,0.31,10.3,0.0301
AENA.MC,2023,4.75,150.1,0.0316
AENA.MC,2024,7.66,188.56,0.0406
AENA.MC,2025,9.76,228.2,0.0428
AMS.MC,2020,0.56,57.31,0.0098
AMS.MC,2023,0.74,63.14,0.0117
AMS.MC,2024,1.24,67.69,0.0183
AMS.MC,2025,0.5,70.46,0.0071
ANA.MC,2020,1.94,102.51,0.0189
ANA.MC,2021,3.91,152.28,0.0257
ANA.MC,2022,4.390000000000001,159.59,0.0275
ANA.MC,2023,4.51,127.53,0.0354
ANA.MC,2024,4.89,108.7,0.045
ANE.MC,2022,0.28,34.52,0.0081
ANE.MC,2023,0.7,27.41,0.0255
ANE.MC,2024,0.49,17.8,0.0275
BBVA.MC,2020,0.16,3.08,0.0519
BBVA.MC,2021,0.14,4.11,0.0341
BBVA.MC,2022,0.35,4.73,0.074
BBVA.MC,2023,0.47,7.4,0.0635
BBVA.MC,2024,0.6799999999999999,9.09,0.0748
BBVA.MC,2025,0.41,12.22,0.0336
BKT.MC,2020,0.1,2.45,0.0408
BKT.MC,2021,0.22999999999999998,3.65,0.063
BKT.MC,2022,0.27,5.33,0.0507
BKT.MC,2023,0.45,5.34,0.0843
BKT.MC,2024,0.52,7.55,0.0689
BKT.MC,2025,0.12,10.47,0.0115
CABK.MC,2020,0.07,1.59,0.044
CABK.MC,2021,0.03,1.85,0.0162
CABK.MC,2022,0.15,2.95,0.0508
CABK.MC,2023,0.23,3.2,0.0719
CABK.MC,2024,0.54,5.01,0.1078
CABK.MC,2025,0.29,6.88,0.0422
CLNX.MC,2020,0.06,45.25,0.0013
CLNX.MC,2021,0.07,50.97,0.0014
CLNX.MC,2022,0.02,30.81,0.0006
CLNX.MC,2023,0.06,35.59,0.0017
CLNX.MC,2024,0.07,30.51,0.0023
COL.MC,2020,0.2,6.86,0.0292
COL.MC,2021,0.22,7.23,0.0304
COL.MC,2022,0.24,5.49,0.0437
COL.MC,2023,0.25,6.26,0.0399
COL.MC,2024,0.27,5.18,0.0521
ELE.MC,2020,1.48,16.74,0.0884
ELE.MC,2021,1.81,16.49,0.1098
ELE.MC,2022,0.94,15.12,0.0622
ELE.MC,2023,2.09,17.55,0.1191
ELE.MC,2024,0.5,20.28,0.0247
ELE.MC,2025,0.5,26.22,0.0191
ENG.MC,2020,0.7000000000000001,12.21,0.0573
ENG.MC,2021,1.69,15.08,0.1121
ENG.MC,2022,1.71,12.57,0.136
ENG.MC,2023,1.73,13.7,0.1263
ENG.MC,2024,1.44,11.78,0.1222
FDR.MC,2020,0.21,18.41,0.0114
FDR.MC,2021,0.4,31.29,0.0128
FDR.MC,2022,0.85,13.62,0.0624
FDR.MC,2023,0.7,18.37,0.0381
FDR.MC,2024,0.55,23.52,0.0234
FER.MC,2020,0.51,20.58,0.0248
FER.MC,2021,0.5,25.58,0.0195
FER.MC,2022,0.69,23.38,0.0295
FER.MC,2023,0.6699999999999999,32.31,0.0207
FER.MC,2024,0.79,40.6,0.0195
GRF.MC,2020,0.16,23.49,0.0068
GRF.MC,2021,0.36,16.88,0.0213
IAG.MC,2024,0.03,3.63,0.0083
IBE.MC,2020,0.4,9.69,0.0413
IBE.MC,2021,0.42000000000000004,8.95,0.0469
IBE.MC,2022,0.44000000000000006,9.82,0.0448
IBE.MC,2023,0.5,11.15,0.0448
IBE.MC,2024,0.55,13.08,0.042
IBE.MC,2025,0.23,15.79,0.0146
IDR.MC,2022,0.15,10.29,0.0146
IDR.MC,2023,0.25,13.82,0.0181
IDR.MC,2024,0.25,17.08,0.0146
ITX.MC,2020,0.35,23.09,0.0152
ITX.MC,2021,0.57,25.78,0.0221
ITX.MC,2022,0.62,23.14,0.0268
ITX.MC,2023,1.0,37.9,0.0264
ITX.MC,2024,1.04,48.78,0.0213
ITX.MC,2025,0.84,47.91,0.0175
LOG.MC,2020,1.2000000000000002,11.51,0.1043
LOG.MC,2021,1.2,13.65,0.0879
LOG.MC,2022,1.26,19.65,0.0641
LOG.MC,2023,1.44,21.61,0.0666
LOG.MC,2024,1.9200000000000002,27.69,0.0693
LOG.MC,2025,1.53,30.5,0.0502
MAP.MC,2020,0.14,1.19,0.1176
MAP.MC,2021,0.14,1.45,0.0966
MAP.MC,2022,0.15,1.57,0.0955
MAP.MC,2023,0.15,1.82,0.0824
MAP.MC,2024,0.15,2.44,0.0615
MAP.MC,2025,0.0,3.16,0.0
MRL.MC,2020,0.15,5.97,0.0251
MRL.MC,2021,0.44999999999999996,7.71,0.0584
MRL.MC,2022,1.2,7.99,0.1502
MRL.MC,2023,0.44,9.67,0.0455
MRL.MC,2024,0.42,10.16,0.0413
MTS.MC,2021,0.25,26.84,0.0093
