year,annual,ticker,Acciones Circulacion
2024,257.8144,ACS.MC,257814399.99999997
2023,261.2817,ACS.MC,261281700.0
2022,271.5823,ACS.MC,271582300.0
2021,300.6317,ACS.MC,300631700.0
2020,300.6317,ACS.MC,300631700.0
2024,249.2286,ACX.MC,249228600.0
2023,249.2286,ACX.MC,249228600.0
2022,249.3315,ACX.MC,249331500.0
2021,271.4286,ACX.MC,271428600.0
2020,270.9067,ACX.MC,270906700.0
2024,150.0773,AENA.MC,150077300.0
2023,150.0289,AENA.MC,150028900.0
2022,150.0,AENA.MC,150000000.0
2021,149.7888,AENA.MC,149788800.0
2020,149.7888,AENA.MC,149788800.0
2024,452.1,AMS.MC,452100000.0
2023,458.7,AMS.MC,458700000.0
2022,465.4,AMS.MC,465400000.0
2021,449.9,AMS.MC,449900000.0
2020,450.5,AMS.MC,450500000.0
2024,54.4261,ANA.MC,54426100.0
2023,54.7316,ANA.MC,54731600.0
2022,54.6895,ANA.MC,54689500.0
2021,54.6377,ANA.MC,54637700.0
2020,54.5602,ANA.MC,54560200.0
2024,324.1392,ANE.MC,324139200.0
2023,315.7157,ANE.MC,315715700.0
2022,333.2393,ANE.MC,333239300.0
2021,329.2506,ANE.MC,329250600.0
2020,329.2506,ANE.MC,329250600.0
2024,6082.5,BBVA.MC,6082500000.0
2023,5837.9404,BBVA.MC,5837940400.0
2022,6026.3951,BBVA.MC,6026395100.0
2021,6705.0364,BBVA.MC,6705036400.0
2020,7333.3813,BBVA.MC,7333381300.0
2025,931.5,BKT.MC,931500000.0
2024,898.6455,BKT.MC,898645500.0
2023,898.6285,BKT.MC,898628500.0
2022,898.6662,BKT.MC,898666200.0
2021,898.6385,BKT.MC,898638500.0
2020,897.9739,BKT.MC,897973900.0
2024,7117.541,CABK.MC,7117541000.0
2023,7367.126,CABK.MC,7367126000.0
2022,7494.4553,CABK.MC,7494455300.0
2021,8053.4285,CABK.MC,8053428500.0
2020,5977.384,CABK.MC,5977384000.0
2024,722.3019,CLNX.MC,722301900.0
2023,705.5247,CLNX.MC,705524700.0
2022,682.1927,CLNX.MC,682192700.0
2021,679.0694,CLNX.MC,679069400.0
2020,679.0694,CLNX.MC,679069400.0
2024,531.476,COL.MC,531476000.0
2023,531.476,COL.MC,531476000.0
2022,531.3973,COL.MC,531397300.0
2021,519.905,COL.MC,519905000.0
2020,507.5773,COL.MC,507577300.0
2024,1058.5503,ELE.MC,1058550300.0000001
2023,1058.5174,ELE.MC,1058517400.0
2022,1058.5243,ELE.MC,1058524300.0
