ticker,Año,Date,Ultimo Precio
ACS.MC,2020,2020-12-31 00:00:00+01:00,20.16
ACS.MC,2021,2021-12-30 00:00:00+01:00,18.79
ACS.MC,2022,2022-12-30 00:00:00+01:00,23.32
ACS.MC,2023,2023-12-29 00:00:00+01:00,37.36
ACS.MC,2024,2024-12-31 00:00:00+01:00,47.99
ACS.MC,2025,2025-05-02 00:00:00+02:00,56.65
ACX.MC,2020,2020-12-31 00:00:00+01:00,7.01
ACX.MC,2021,2021-12-30 00:00:00+01:00,9.23
ACX.MC,2022,2022-12-30 00:00:00+01:00,7.92
ACX.MC,2023,2023-12-29 00:00:00+01:00,9.69
ACX.MC,2024,2024-12-31 00:00:00+01:00,9.16
ACX.MC,2025,2025-05-02 00:00:00+02:00,10.3
AENA.MC,2020,2020-12-31 00:00:00+01:00,126.03
AENA.MC,2021,2021-12-30 00:00:00+01:00,123.02
AENA.MC,2022,2022-12-30 00:00:00+01:00,103.96
AENA.MC,2023,2023-12-29 00:00:00+01:00,150.1
AENA.MC,2024,2024-12-31 00:00:00+01:00,188.56
AENA.MC,2025,2025-05-02 00:00:00+02:00,228.2
AMS.MC,2020,2020-12-31 00:00:00+01:00,57.31
AMS.MC,2021,2021-12-30 00:00:00+01:00,57.39
AMS.MC,2022,2022-12-30 00:00:00+01:00,46.72
AMS.MC,2023,2023-12-29 00:00:00+01:00,63.14
AMS.MC,2024,2024-12-31 00:00:00+01:00,67.69
AMS.MC,2025,2025-05-02 00:00:00+02:00,70.46
ANA.MC,2020,2020-12-31 00:00:00+01:00,102.51
ANA.MC,2021,2021-12-30 00:00:00+01:00,152.28
ANA.MC,2022,2022-12-30 00:00:00+01:00,159.59
ANA.MC,2023,2023-12-29 00:00:00+01:00,127.53
ANA.MC,2024,2024-12-31 00:00:00+01:00,108.7
ANA.MC,2025,2025-05-02 00:00:00+02:00,127.6
ANE.MC,2021,2021-12-30 00:00:00+01:00,30.87
ANE.MC,2022,2022-12-30 00:00:00+01:00,34.52
ANE.MC,2023,2023-12-29 00:00:00+01:00,27.41
ANE.MC,2024,2024-12-31 00:00:00+01:00,17.8
ANE.MC,2025,2025-05-02 00:00:00+02:00,15.94
BBVA.MC,2020,2020-12-31 00:00:00+01:00,3.08
BBVA.MC,2021,2021-12-30 00:00:00+01:00,4.11
BBVA.MC,2022,2022-12-30 00:00:00+01:00,4.73
BBVA.MC,2023,2023-12-29 00:00:00+01:00,7.4
BBVA.MC,2024,2024-12-31 00:00:00+01:00,9.09
BBVA.MC,2025,2025-05-02 00:00:00+02:00,12.22
BKT.MC,2020,2020-12-31 00:00:00+01:00,2.45
BKT.MC,2021,2021-12-30 00:00:00+01:00,3.65
BKT.MC,2022,2022-12-30 00:00:00+01:00,5.33
BKT.MC,2023,2023-12-29 00:00:00+01:00,5.34
BKT.MC,2024,2024-12-31 00:00:00+01:00,7.55
BKT.MC,2025,2025-05-02 00:00:00+02:00,10.47
CABK.MC,2020,2020-12-31 00:00:00+01:00,1.59
CABK.MC,2021,2021-12-30 00:00:00+01:00,1.85
CABK.MC,2022,2022-12-30 00:00:00+01:00,2.95
CABK.MC,2023,2023-12-29 00:00:00+01:00,3.2
CABK.MC,2024,2024-12-31 00:00:00+01:00,5.01
CABK.MC,2025,2025-05-02 00:00:00+02:00,6.88
CLNX.MC,2020,2020-12-31 00:00:00+01:00,45.25
CLNX.MC,2021,2021-12-30 00:00:00+01:00,50.97
CLNX.MC,2022,2022-12-30 00:00:00+01:00,30.81
