fecha,currency,quarterly,yearly,ticker
2000-06-30,EUR,"{'totalRevenue': None, 'costOfRevenue': None, 'grossProfit': None, 'totalOperatingExpenses': None, 'researchDevelopment': None, 'sellingGeneralAdministrative': None, 'discontinuedOperations': None, 'otherOperatingExpenses': None, 'operatingIncome': None, 'interestIncome': None, 'totalOtherIncomeExpenseNet': None, 'nonOperatingIncomeNetOther': None, 'incomeBeforeTax': None, 'taxProvision': None, 'incomeTaxExpense': None, 'extraordinaryItems': None, 'minorityInterest': None, 'effectOfAccountingCharges': None, 'nonRecurring': None, 'otherItems': None, 'netIncome': None, 'preferredStockAndOtherAdjustments': None, 'netIncomeApplicableToCommonShares': None, 'ebit': None, 'dilutedWeightedAverageShares': None, 'netIncomeAfterTaxes': None, 'netIncomeBeforeExtraordinaryItems': None, 'dilutedNetIncome': None, 'dilutedEPSExcludingExtraordinaryItems': 0, 'dilutedNormalizedEPS': 0}",,ACS.MC
2001-06-30,EUR,"{'totalRevenue': None, 'costOfRevenue': None, 'grossProfit': None, 'totalOperatingExpenses': None, 'researchDevelopment': None, 'sellingGeneralAdministrative': None, 'discontinuedOperations': None, 'otherOperatingExpenses': None, 'operatingIncome': None, 'interestIncome': None, 'totalOtherIncomeExpenseNet': None, 'nonOperatingIncomeNetOther': None, 'incomeBeforeTax': None, 'taxProvision': None, 'incomeTaxExpense': None, 'extraordinaryItems': None, 'minorityInterest': None, 'effectOfAccountingCharges': None, 'nonRecurring': None, 'otherItems': None, 'netIncome': None, 'preferredStockAndOtherAdjustments': None, 'netIncomeApplicableToCommonShares': None, 'ebit': None, 'dilutedWeightedAverageShares': None, 'netIncomeAfterTaxes': None, 'netIncomeBeforeExtraordinaryItems': None, 'dilutedNetIncome': None, 'dilutedEPSExcludingExtraordinaryItems': 0, 'dilutedNormalizedEPS': 0}",,ACS.MC
2001-12-31,EUR,"{'totalRevenue': None, 'costOfRevenue': None, 'grossProfit': None, 'totalOperatingExpenses': None, 'researchDevelopment': None, 'sellingGeneralAdministrative': None, 'discontinuedOperations': None, 'otherOperatingExpenses': None, 'operatingIncome': None, 'interestIncome': None, 'totalOtherIncomeExpenseNet': None, 'nonOperatingIncomeNetOther': None, 'incomeBeforeTax': None, 'taxProvision': None, 'incomeTaxExpense': None, 'extraordinaryItems': None, 'minorityInterest': None, 'effectOfAccountingCharges': None, 'nonRecurring': None, 'otherItems': None, 'netIncome': None, 'preferredStockAndOtherAdjustments': None, 'netIncomeApplicableToCommonShares': None, 'ebit': None, 'dilutedWeightedAverageShares': None, 'netIncomeAfterTaxes': None, 'netIncomeBeforeExtraordinaryItems': None, 'dilutedNetIncome': None, 'dilutedEPSExcludingExtraordinaryItems': 0, 'dilutedNormalizedEPS': 0}","{'totalRevenue': 3921382000.0, 'costOfRevenue': None, 'grossProfit': None, 'totalOperatingExpenses': 267799000.0, 'researchDevelopment': None, 'sellingGeneralAdministrative': None, 'discontinuedOperations': None, 'otherOperatingExpenses': 267799000.0, 'operatingIncome': 267799000.0, 'interestIncome': None, 'totalOtherIncomeExpenseNet': -45521000.0, 'nonOperatingIncomeNetOther': None, 'incomeBeforeTax': 222278000.0, 'taxProvision': None, 'incomeTaxExpense': 70955000.0, 'extraordinaryItems': None, 'minorityInterest': 2092000.0, 'effectOfAccountingCharges': None, 'nonRecurring': None, 'otherItems': None, 'netIncome': 149231000.0, 'preferredStockAndOtherAdjustments': None, 'netIncomeApplicableToCommonShares': None, 'ebit': 267799000.0, 'dilutedWeightedAverageShares': None, 'netIncomeAfterTaxes': None, 'netIncomeBeforeExtraordinaryItems': None, 'dilutedNetIncome': None, 'dilutedEPSExcludingExtraordinaryItems': 0, 'dilutedNormalizedEPS': 0}",ACS.MC
2002-06-30,EUR,"{'totalRevenue': None, 'costOfRevenue': None, 'grossProfit': None, 'totalOperatingExpenses': None, 'researchDevelopment': None, 'sellingGeneralAdministrative': None, 'discontinuedOperations': None, 'otherOperatingExpenses': None, 'operatingIncome': None, 'interestIncome': None, 'totalOtherIncomeExpenseNet': None, 'nonOperatingIncomeNetOther': None, 'incomeBeforeTax': None, 'taxProvision': None, 'incomeTaxExpense': None, 'extraordinaryItems': None, 'minorityInterest': None, 'effectOfAccountingCharges': None, 'nonRecurring': None, 'otherItems': None, 'netIncome': None, 'preferredStockAndOtherAdjustments': None, 'netIncomeApplicableToCommonShares': None, 'ebit': None, 'dilutedWeightedAverageShares': None, 'netIncomeAfterTaxes': None, 'netIncomeBeforeExtraordinaryItems': None, 'dilutedNetIncome': None, 'dilutedEPSExcludingExtraordinaryItems': 0, 'dilutedNormalizedEPS': 0}",,ACS.MC
2002-12-31,EUR,"{'totalRevenue': None, 'costOfRevenue': None, 'grossProfit': None, 'totalOperatingExpenses': None, 'researchDevelopment': None, 'sellingGeneralAdministrative': None, 'discontinuedOperations': None, 'otherOperatingExpenses': None, 'operatingIncome': None, 'interestIncome': None, 'totalOtherIncomeExpenseNet': None, 'nonOperatingIncomeNetOther': None, 'incomeBeforeTax': None, 'taxProvision': None, 'incomeTaxExpense': None, 'extraordinaryItems': None, 'minorityInterest': None, 'effectOfAccountingCharges': None, 'nonRecurring': None, 'otherItems': None, 'netIncome': None, 'preferredStockAndOtherAdjustments': None, 'netIncomeApplicableToCommonShares': None, 'ebit': None, 'dilutedWeightedAverageShares': None, 'netIncomeAfterTaxes': None, 'netIncomeBeforeExtraordinaryItems': None, 'dilutedNetIncome': None, 'dilutedEPSExcludingExtraordinaryItems': 0, 'dilutedNormalizedEPS': 0}","{'totalRevenue': 4420187000.0, 'costOfRevenue': 2643519000.0, 'grossProfit': 1776668000.0, 'totalOperatingExpenses': 1564057000.0, 'researchDevelopment': None, 'sellingGeneralAdministrative': 919564000.0, 'discontinuedOperations': None, 'otherOperatingExpenses': 4207576000.0, 'operatingIncome': 305331000.0, 'interestIncome': None, 'totalOtherIncomeExpenseNet': -54894000.0, 'nonOperatingIncomeNetOther': None, 'incomeBeforeTax': 250437000.0, 'taxProvision': None, 'incomeTaxExpense': 68375000.0, 'extraordinaryItems': None, 'minorityInterest': 651000.0, 'effectOfAccountingCharges': None, 'nonRecurring': None, 'otherItems': None, 'netIncome': 181411000.0, 'preferredStockAndOtherAdjustments': None, 'netIncomeApplicableToCommonShares': None, 'ebit': 305331000.0, 'dilutedWeightedAverageShares': None, 'netIncomeAfterTaxes': None, 'netIncomeBeforeExtraordinaryItems': None, 'dilutedNetIncome': None, 'dilutedEPSExcludingExtraordinaryItems': 0, 'dilutedNormalizedEPS': 0}",ACS.MC
2003-06-30,EUR,"{'totalRevenue': None, 'costOfRevenue': None, 'grossProfit': None, 'totalOperatingExpenses': None, 'researchDevelopment': None, 'sellingGeneralAdministrative': None, 'discontinuedOperations': None, 'otherOperatingExpenses': None, 'operatingIncome': None, 'interestIncome': None, 'totalOtherIncomeExpenseNet': None, 'nonOperatingIncomeNetOther': None, 'incomeBeforeTax': None, 'taxProvision': None, 'incomeTaxExpense': None, 'extraordinaryItems': None, 'minorityInterest': None, 'effectOfAccountingCharges': None, 'nonRecurring': None, 'otherItems': None, 'netIncome': None, 'preferredStockAndOtherAdjustments': None, 'netIncomeApplicableToCommonShares': None, 'ebit': None, 'dilutedWeightedAverageShares': None, 'netIncomeAfterTaxes': None, 'netIncomeBeforeExtraordinaryItems': None, 'dilutedNetIncome': None, 'dilutedEPSExcludingExtraordinaryItems': 0, 'dilutedNormalizedEPS': 0}",,ACS.MC
2003-12-31,EUR,"{'totalRevenue': None, 'costOfRevenue': None, 'grossProfit': None, 'totalOperatingExpenses': None, 'researchDevelopment': None, 'sellingGeneralAdministrative': None, 'discontinuedOperations': None, 'otherOperatingExpenses': None, 'operatingIncome': None, 'interestIncome': None, 'totalOtherIncomeExpenseNet': None, 'nonOperatingIncomeNetOther': None, 'incomeBeforeTax': None, 'taxProvision': None, 'incomeTaxExpense': None, 'extraordinaryItems': None, 'minorityInterest': None, 'effectOfAccountingCharges': None, 'nonRecurring': None, 'otherItems': None, 'netIncome': None, 'preferredStockAndOtherAdjustments': None, 'netIncomeApplicableToCommonShares': None, 'ebit': None, 'dilutedWeightedAverageShares': None, 'netIncomeAfterTaxes': None, 'netIncomeBeforeExtraordinaryItems': None, 'dilutedNetIncome': None, 'dilutedEPSExcludingExtraordinaryItems': 0, 'dilutedNormalizedEPS': 0}","{'totalRevenue': 8825118000.0, 'costOfRevenue': 5286009000.0, 'grossProfit': 3539109000.0, 'totalOperatingExpenses': 2963462000.0, 'researchDevelopment': None, 'sellingGeneralAdministrative': 1975527000.0, 'discontinuedOperations': None, 'otherOperatingExpenses': 8249471000.0, 'operatingIncome': 573547000.0, 'interestIncome': None, 'totalOtherIncomeExpenseNet': -292277000.0, 'nonOperatingIncomeNetOther': None, 'incomeBeforeTax': 283370000.0, 'taxProvision': None, 'incomeTaxExpense': 48289000.0, 'extraordinaryItems': None, 'minorityInterest': 5573000.0, 'effectOfAccountingCharges': None, 'nonRecurring': None, 'otherItems': None, 'netIncome': 229508000.0, 'preferredStockAndOtherAdjustments': None, 'netIncomeApplicableToCommonShares': None, 'ebit': 600354000.0, 'dilutedWeightedAverageShares': None, 'netIncomeAfterTaxes': None, 'netIncomeBeforeExtraordinaryItems': None, 'dilutedNetIncome': None, 'dilutedEPSExcludingExtraordinaryItems': 0, 'dilutedNormalizedEPS': 0}",ACS.MC
2004-03-31,EUR,"{'totalRevenue': 2506400000.0, 'costOfRevenue': None, 'grossProfit': 2506400000.0, 'totalOperatingExpenses': None, 'researchDevelopment': None, 'sellingGeneralAdministrative': None, 'discontinuedOperations': None, 'otherOperatingExpenses': None, 'operatingIncome': 127900000.0, 'interestIncome': None, 'totalOtherIncomeExpenseNet': None, 'nonOperatingIncomeNetOther': None, 'incomeBeforeTax': 122200000.0, 'taxProvision': None, 'incomeTaxExpense': 33800000.0, 'extraordinaryItems': None, 'minorityInterest': 600000.0, 'effectOfAccountingCharges': None, 'nonRecurring': None, 'otherItems': None, 'netIncome': None, 'preferredStockAndOtherAdjustments': None, 'netIncomeApplicableToCommonShares': None, 'ebit': None, 'dilutedWeightedAverageShares': None, 'netIncomeAfterTaxes': None, 'netIncomeBeforeExtraordinaryItems': None, 'dilutedNetIncome': None, 'dilutedEPSExcludingExtraordinaryItems': 0, 'dilutedNormalizedEPS': 0}",,ACS.MC
2004-06-30,EUR,"{'totalRevenue': 2714600000.0, 'costOfRevenue': None, 'grossProfit': 2714600000.0, 'totalOperatingExpenses': None, 'researchDevelopment': None, 'sellingGeneralAdministrative': None, 'discontinuedOperations': None, 'otherOperatingExpenses': None, 'operatingIncome': 162800000.0, 'interestIncome': None, 'totalOtherIncomeExpenseNet': None, 'nonOperatingIncomeNetOther': None, 'incomeBeforeTax': 159800000.0, 'taxProvision': None, 'incomeTaxExpense': 31900000.0, 'extraordinaryItems': None, 'minorityInterest': 1600000.0, 'effectOfAccountingCharges': None, 'nonRecurring': None, 'otherItems': None, 'netIncome': None, 'preferredStockAndOtherAdjustments': None, 'netIncomeApplicableToCommonShares': None, 'ebit': None, 'dilutedWeightedAverageShares': None, 'netIncomeAfterTaxes': None, 'netIncomeBeforeExtraordinaryItems': None, 'dilutedNetIncome': None, 'dilutedEPSExcludingExtraordinaryItems': 0, 'dilutedNormalizedEPS': 0}",,ACS.MC
2004-09-30,EUR,"{'totalRevenue': 2821600000.0, 'costOfRevenue': None, 'grossProfit': 2821600000.0, 'totalOperatingExpenses': None, 'researchDevelopment': None, 'sellingGeneralAdministrative': None, 'discontinuedOperations': None, 'otherOperatingExpenses': None, 'operatingIncome': 160200000.0, 'interestIncome': None, 'totalOtherIncomeExpenseNet': None, 'nonOperatingIncomeNetOther': None, 'incomeBeforeTax': 171500000.0, 'taxProvision': None, 'incomeTaxExpense': 50000000.0, 'extraordinaryItems': None, 'minorityInterest': 2500000.0, 'effectOfAccountingCharges': None, 'nonRecurring': None, 'otherItems': None, 'netIncome': None, 'preferredStockAndOtherAdjustments': None, 'netIncomeApplicableToCommonShares': None, 'ebit': None, 'dilutedWeightedAverageShares': None, 'netIncomeAfterTaxes': None, 'netIncomeBeforeExtraordinaryItems': None, 'dilutedNetIncome': None, 'dilutedEPSExcludingExtraordinaryItems': 0, 'dilutedNormalizedEPS': 0}",,ACS.MC
