currency,yearly,ticker,totalPatrimonioNeto+pasivo,totalPatrimonioNeto,totalPasivo,cuentasAPagar_proveedores,efectivo,totalActivos,Año,comprobacion,comprobacion_2
EUR,"{'totalAssets': 37333720000.0, 'totalCurrentAssets': 24314925000.0, 'cashAndShortTermInvestments': 8956035000.0, 'cash': 7765477000.0, 'shortTermInvestments': 1190558000.0, 'netReceivables': 14410495000.0, 'inventory': 715241000.0, 'otherCurrentAssets': 233154000.0, 'nonCurrrentAssetsOther': 1463741000.0, 'propertyPlantEquipment': 2007922000.0, 'propertyPlantAndEquipmentGross': 4848782000.0, 'accumulatedDepreciation': None, 'longTermInvestments': None, 'goodWill': 2863053000.0, 'intangibleAssets': 796126000.0, 'otherAssets': 2381225000.0, 'netTangibleAssets': -130700000.0, 'nonCurrentAssetsTotal': 13018795000.0, 'liabilitiesAndStockholdersEquity': 37333720000.0, 'totalLiab': 33057813000.0, 'totalCurrentLiabilities': 22451823000.0, 'shortTermDebt': 3003440000.0, 'shortLongTermDebtTotal': 11846312000.0, 'capitalLeaseObligations': 688087000.0, 'accountsPayable': 8619276000.0, 'otherCurrentLiab': 226888000.0, 'nonCurrentLiabilitiesTotal': 10605990000.0, 'longTermDebtTotal': 8842872000.0, 'longTermDebt': 8288481000.0, 'otherLiab': 1763118000.0, 'deferredLongTermLiab': None, 'deferredLongTermAssetCharges': None, 'nonCurrentLiabilitiesOther': 112979000.0, 'totalStockholderEquity': 3528479000.0, 'commonStockTotalEquity': None, 'commonStock': 155332000.0, 'commonStockSharesOutstanding': 293847994.0, 'additionalPaidInCapital': None, 'treasuryStock': None, 'preferredStockTotalEquity': None, 'preferredStockRedeemable': None, 'retainedEarningsTotalEquity': None, 'retainedEarnings': 574005000.0, 'accumulatedOtherComprehensiveIncome': 3513932000.0, 'otherStockholderEquity': -714790000.0, 'totalPermanentEquity': None, 'noncontrollingInterestInConsolidatedEntity': None, 'temporaryEquityRedeemableNoncontrollingInterests': None, 'accumulatedAmortization': None, 'negativeGoodwill': None, 'warrants': None, 'capitalSurpluse': 495226000.0, 'date': '2020-12-31', 'filing_date': '2020-12-31', 'netDebt': 4017203000.0, 'earningAssets': None, 'netWorkingCapital': 1863102000.0, 'netInvestedCapital': 14623072000.0}",ACS.MC,37333720000.0,3528479000.0,33805241000.0,8619276000.0,7765477000.0,37333720000.0,2020,0.0,Correcto
EUR,"{'totalAssets': 35664345000.0, 'totalCurrentAssets': 24654314000.0, 'cashAndShortTermInvestments': 11978647000.0, 'cash': 10941027000.0, 'shortTermInvestments': 1037620000.0, 'netReceivables': 11730736000.0, 'inventory': 742092000.0, 'otherCurrentAssets': 202839000.0, 'nonCurrrentAssetsOther': 1275568000.0, 'propertyPlantEquipment': 1405216000.0, 'propertyPlantAndEquipmentGross': 3586488000.0, 'accumulatedDepreciation': None, 'longTermInvestments': None, 'goodWill': 2672253000.0, 'intangibleAssets': 607159000.0, 'otherAssets': 1483279000.0, 'netTangibleAssets': 3054892000.0, 'nonCurrentAssetsTotal': 11010031000.0, 'liabilitiesAndStockholdersEquity': 35664345000.0, 'totalLiab': 28636142000.0, 'totalCurrentLiabilities': 17191296000.0, 'shortTermDebt': 1927366000.0, 'shortLongTermDebtTotal': 11046150000.0, 'capitalLeaseObligations': 567770000.0, 'accountsPayable': 5940236000.0, 'otherCurrentLiab': 266697000.0, 'nonCurrentLiabilitiesTotal': 11444846000.0, 'longTermDebtTotal': 9118784000.0, 'longTermDebt': 8647691000.0, 'otherLiab': 2326062000.0, 'deferredLongTermLiab': None, 'deferredLongTermAssetCharges': None, 'nonCurrentLiabilitiesOther': 228532000.0, 'totalStockholderEquity': 6334304000.0, 'commonStockTotalEquity': None, 'commonStock': 152332000.0, 'commonStockSharesOutstanding': 283680866.0, 'additionalPaidInCapital': None, 'treasuryStock': None, 'preferredStockTotalEquity': None, 'preferredStockRedeemable': None, 'retainedEarningsTotalEquity': None, 'retainedEarnings': 3045413000.0, 'accumulatedOtherComprehensiveIncome': 6507509000.0, 'otherStockholderEquity': -3370950000.0, 'totalPermanentEquity': None, 'noncontrollingInterestInConsolidatedEntity': None, 'temporaryEquityRedeemableNoncontrollingInterests': None, 'accumulatedAmortization': None, 'negativeGoodwill': None, 'warrants': None, 'capitalSurpluse': 366379000.0, 'date': '2021-12-31', 'filing_date': '2021-12-31', 'netDebt': 45474000.0, 'earningAssets': None, 'netWorkingCapital': 7463018000.0, 'netInvestedCapital': 16753035000.0}",ACS.MC,35664345000.0,6334304000.0,29330041000.0,5940236000.0,10941027000.0,35664345000.0,2021,0.0,Correcto
EUR,"{'totalAssets': 37580300000.0, 'totalCurrentAssets': 25159308000.0, 'cashAndShortTermInvestments': 10416998000.0, 'cash': 9419987000.0, 'shortTermInvestments': 997011000.0, 'netReceivables': 13686571000.0, 'inventory': 828968000.0, 'otherCurrentAssets': 226771000.0, 'nonCurrrentAssetsOther': 1710844000.0, 'propertyPlantEquipment': 1853926000.0, 'propertyPlantAndEquipmentGross': 4637181000.0, 'accumulatedDepreciation': None, 'longTermInvestments': None, 'goodWill': 2716197000.0, 'intangibleAssets': 567702000.0, 'otherAssets': 951862000.0, 'netTangibleAssets': 2263497000.0, 'nonCurrentAssetsTotal': 12420992000.0, 'liabilitiesAndStockholdersEquity': 37580300000.0, 'totalLiab': 31204423000.0, 'totalCurrentLiabilities': 19720194000.0, 'shortTermDebt': 1640327000.0, 'shortLongTermDebtTotal': 11069754000.0, 'capitalLeaseObligations': 705801000.0, 'accountsPayable': 7126000000.0, 'otherCurrentLiab': 8011573000.0, 'nonCurrentLiabilitiesTotal': 11484229000.0, 'longTermDebtTotal': 9429427000.0, 'longTermDebt': 8805537000.0, 'otherLiab': 2054802000.0, 'deferredLongTermLiab': None, 'deferredLongTermAssetCharges': None, 'nonCurrentLiabilitiesOther': 185757000.0, 'totalStockholderEquity': 5547396000.0, 'commonStockTotalEquity': None, 'commonStock': 142082000.0, 'commonStockSharesOutstanding': 266979163.0, 'additionalPaidInCapital': None, 'treasuryStock': None, 'preferredStockTotalEquity': None, 'preferredStockRedeemable': None, 'retainedEarningsTotalEquity': None, 'retainedEarnings': 668227000.0, 'accumulatedOtherComprehensiveIncome': 5661105000.0, 'otherStockholderEquity': -924018000.0, 'totalPermanentEquity': None, 'noncontrollingInterestInConsolidatedEntity': None, 'temporaryEquityRedeemableNoncontrollingInterests': None, 'accumulatedAmortization': None, 'negativeGoodwill': None, 'warrants': None, 'capitalSurpluse': 366379000.0, 'date': '2022-12-31', 'filing_date': '2022-12-31', 'netDebt': 1576623000.0, 'earningAssets': None, 'netWorkingCapital': 5439114000.0, 'netInvestedCapital': 15838205000.0}",ACS.MC,37580300000.0,5547396000.0,32032904000.0,7126000000.0,9419987000.0,37580300000.0,2022,0.0,Correcto
EUR,"{'totalAssets': 36498270000.0, 'totalCurrentAssets': 23583166000.0, 'cashAndShortTermInvestments': 9819263000.0, 'cash': 9087289000.0, 'shortTermInvestments': 731974000.0, 'netReceivables': 7920935000.0, 'inventory': 790004000.0, 'otherCurrentAssets': 5052964000.0, 'nonCurrrentAssetsOther': 25695000.0, 'propertyPlantEquipment': None, 'propertyPlantAndEquipmentGross': 4551909000.0, 'accumulatedDepreciation': None, 'longTermInvestments': None, 'goodWill': 2734491000.0, 'intangibleAssets': 547068000.0, 'otherAssets': -493970000.0, 'netTangibleAssets': None, 'nonCurrentAssetsTotal': 13409074000.0, 'liabilitiesAndStockholdersEquity': 36498270000.0, 'totalLiab': 30867699000.0, 'totalCurrentLiabilities': 19589491000.0, 'shortTermDebt': 1616344000.0, 'shortLongTermDebtTotal': 10392009000.0, 'capitalLeaseObligations': 703731000.0, 'accountsPayable': 7251923000.0, 'otherCurrentLiab': 10535412000.0, 'nonCurrentLiabilitiesTotal': 11278208000.0, 'longTermDebtTotal': None, 'longTermDebt': 8232503000.0, 'otherLiab': None, 'deferredLongTermLiab': None, 'deferredLongTermAssetCharges': None, 'nonCurrentLiabilitiesOther': 180441000.0, 'totalStockholderEquity': 5329419000.0, 'commonStockTotalEquity': None, 'commonStock': 139082000.0, 'commonStockSharesOutstanding': 260320412.0, 'additionalPaidInCapital': None, 'treasuryStock': None, 'preferredStockTotalEquity': None, 'preferredStockRedeemable': None, 'retainedEarningsTotalEquity': None, 'retainedEarnings': 7790288000.0, 'accumulatedOtherComprehensiveIncome': -2500412000.0, 'otherStockholderEquity': -99539000.0, 'totalPermanentEquity': None, 'noncontrollingInterestInConsolidatedEntity': None, 'temporaryEquityRedeemableNoncontrollingInterests': None, 'accumulatedAmortization': None, 'negativeGoodwill': None, 'warrants': None, 'capitalSurpluse': None, 'date': '2023-12-31', 'filing_date': '2023-12-31', 'netDebt': 1304720000.0, 'earningAssets': None, 'netWorkingCapital': 3993675000.0, 'netInvestedCapital': 15017697000.0}",ACS.MC,36498270000.0,5329419000.0,31168851000.0,7251923000.0,9087289000.0,36498270000.0,2023,0.0,Correcto
EUR,"{'totalAssets': 42025282000.0, 'totalCurrentAssets': 26949446000.0, 'cashAndShortTermInvestments': 12495060000.0, 'cash': 11413659000.0, 'shortTermInvestments': 1081401000.0, 'netReceivables': 10935394000.0, 'inventory': 1023572000.0, 'otherCurrentAssets': 2495420000.0, 'nonCurrrentAssetsOther': 1218544000.0, 'propertyPlantEquipment': None, 'propertyPlantAndEquipmentGross': 2961166000.0, 'accumulatedDepreciation': None, 'longTermInvestments': None, 'goodWill': 4754177000.0, 'intangibleAssets': 973091000.0, 'otherAssets': None, 'netTangibleAssets': None, 'nonCurrentAssetsTotal': 15075836000.0, 'liabilitiesAndStockholdersEquity': 42025282000.0, 'totalLiab': 36910352000.0, 'totalCurrentLiabilities': 23115877000.0, 'shortTermDebt': None, 'shortLongTermDebtTotal': None, 'capitalLeaseObligations': None, 'accountsPayable': 9386724000.0, 'otherCurrentLiab': 13517506000.0, 'nonCurrentLiabilitiesTotal': 13794475000.0, 'longTermDebtTotal': None, 'longTermDebt': None, 'otherLiab': None, 'deferredLongTermLiab': None, 'deferredLongTermAssetCharges': None, 'nonCurrentLiabilitiesOther': 1202377000.0, 'totalStockholderEquity': 4714213000.0, 'commonStockTotalEquity': None, 'commonStock': 135832000.0, 'commonStockSharesOutstanding': 258680341.0, 'additionalPaidInCapital': None, 'treasuryStock': None, 'preferredStockTotalEquity': None, 'preferredStockRedeemable': None, 'retainedEarningsTotalEquity': None, 'retainedEarnings': 827580000.0, 'accumulatedOtherComprehensiveIncome': None, 'otherStockholderEquity': 3750801000.0, 'totalPermanentEquity': None, 'noncontrollingInterestInConsolidatedEntity': None, 'temporaryEquityRedeemableNoncontrollingInterests': None, 'accumulatedAmortization': None, 'negativeGoodwill': None, 'warrants': None, 'capitalSurpluse': None, 'date': '2024-12-31', 'filing_date': '2024-12-31', 'netDebt': -11413659000.0, 'earningAssets': None, 'netWorkingCapital': 3833569000.0, 'netInvestedCapital': 4714213000.0}",ACS.MC,42025282000.0,4714213000.0,37311069000.0,9386724000.0,11413659000.0,42025282000.0,2024,0.0,Correcto
EUR,"{'totalAssets': 4733109000.0, 'totalCurrentAssets': 2663575000.0, 'cashAndShortTermInvestments': 939779000.0, 'cash': 917118000.0, 'shortTermInvestments': 22661000.0, 'netReceivables': 541308000.0, 'inventory': 1182189000.0, 'otherCurrentAssets': 22960000.0, 'nonCurrrentAssetsOther': 35987000.0, 'propertyPlantEquipment': 1837183000.0, 'propertyPlantAndEquipmentGross': 5510133000.0, 'accumulatedDepreciation': None, 'longTermInvestments': None, 'goodWill': 51064000.0, 'intangibleAssets': 49576000.0, 'otherAssets': 129455000.0, 'netTangibleAssets': 1480230000.0, 'nonCurrentAssetsTotal': 2069534000.0, 'liabilitiesAndStockholdersEquity': 4733109000.0, 'totalLiab': 3118129000.0, 'totalCurrentLiabilities': 1291163000.0, 'shortTermDebt': 278034000.0, 'shortLongTermDebtTotal': 1689357000.0, 'capitalLeaseObligations': None, 'accountsPayable': 880520000.0, 'otherCurrentLiab': 84722000.0, 'nonCurrentLiabilitiesTotal': 1826966000.0, 'longTermDebtTotal': 1409689000.0, 'longTermDebt': 1409689000.0, 'otherLiab': 388804000.0, 'deferredLongTermLiab': 8856000.0, 'deferredLongTermAssetCharges': None, 'nonCurrentLiabilitiesOther': None, 'totalStockholderEquity': 1572014000.0, 'commonStockTotalEquity': None, 'commonStock': 67637000.0, 'commonStockSharesOutstanding': 270452873.0, 'additionalPaidInCapital': None, 'treasuryStock': None, 'preferredStockTotalEquity': None, 'preferredStockRedeemable': None, 'retainedEarningsTotalEquity': None, 'retainedEarnings': 49049000.0, 'accumulatedOtherComprehensiveIncome': -138056000.0, 'otherStockholderEquity': -276916000.0, 'totalPermanentEquity': None, 'noncontrollingInterestInConsolidatedEntity': None, 'temporaryEquityRedeemableNoncontrollingInterests': None, 'accumulatedAmortization': None, 'negativeGoodwill': None, 'warrants': None, 'capitalSurpluse': 258000.0, 'date': '2020-12-31', 'filing_date': '2020-12-31', 'netDebt': 772239000.0, 'earningAssets': None, 'netWorkingCapital': 1372412000.0, 'netInvestedCapital': 3261371000.0}",ACX.MC,4733109000.0,1572014000.0,3161095000.0,880520000.0,917118000.0,4733109000.0,2020,0.0,Correcto
EUR,"{'totalAssets': 5984222000.0, 'totalCurrentAssets': 3916795000.0, 'cashAndShortTermInvestments': 1290281000.0, 'cash': 1274929000.0, 'shortTermInvestments': 15352000.0, 'netReceivables': 850041000.0, 'inventory': 1776610000.0, 'otherCurrentAssets': 856353000.0, 'nonCurrrentAssetsOther': 28567000.0, 'propertyPlantEquipment': 1834708000.0, 'propertyPlantAndEquipmentGross': 5797438000.0, 'accumulatedDepreciation': None, 'longTermInvestments': None, 'goodWill': 51064000.0, 'intangibleAssets': 46578000.0, 'otherAssets': 127566000.0, 'netTangibleAssets': 2065901000.0, 'nonCurrentAssetsTotal': 2067427000.0, 'liabilitiesAndStockholdersEquity': 5984222000.0, 'totalLiab': 3769360000.0, 'totalCurrentLiabilities': 1967566000.0, 'shortTermDebt': 483271000.0, 'shortLongTermDebtTotal': 1853149000.0, 'capitalLeaseObligations': None, 'accountsPayable': 1318061000.0, 'otherCurrentLiab': 101640000.0, 'nonCurrentLiabilitiesTotal': 1801794000.0, 'longTermDebtTotal': 1368244000.0, 'longTermDebt': 1368244000.0, 'otherLiab': 417720000.0, 'deferredLongTermLiab': 8503000.0, 'deferredLongTermAssetCharges': None, 'nonCurrentLiabilitiesOther': None, 'totalStockholderEquity': 2155040000.0, 'commonStockTotalEquity': None, 'commonStock': 67637000.0, 'commonStockSharesOutstanding': 270435907.0, 'additionalPaidInCapital': None, 'treasuryStock': None, 'preferredStockTotalEquity': None, 'preferredStockRedeemable': None, 'retainedEarningsTotalEquity': None, 'retainedEarnings': 571882000.0, 'accumulatedOtherComprehensiveIncome': 3314000.0, 'otherStockholderEquity': -9983000.0, 'totalPermanentEquity': None, 'noncontrollingInterestInConsolidatedEntity': None, 'temporaryEquityRedeemableNoncontrollingInterests': None, 'accumulatedAmortization': None, 'negativeGoodwill': None, 'warrants': None, 'capitalSurpluse': 268000.0, 'date': '2021-12-31', 'filing_date': '2021-12-31', 'netDebt': 578220000.0, 'earningAssets': None, 'netWorkingCapital': 1949229000.0, 'netInvestedCapital': 4008189000.0}",ACX.MC,5984222000.0,2155040000.0,3829182000.0,1318061000.0,1274929000.0,5984222000.0,2021,0.0,Correcto
EUR,"{'totalAssets': 6318147000.0, 'totalCurrentAssets': 4415719000.0, 'cashAndShortTermInvestments': 1557819000.0, 'cash': 1548040000.0, 'shortTermInvestments': 9779000.0, 'netReceivables': 660705000.0, 'inventory': 2155542000.0, 'otherCurrentAssets': 46213000.0, 'nonCurrrentAssetsOther': 49768000.0, 'propertyPlantEquipment': 1665814000.0, 'propertyPlantAndEquipmentGross': 6098320000.0, 'accumulatedDepreciation': None, 'longTermInvestments': None, 'goodWill': 51064000.0, 'intangibleAssets': 43437000.0, 'otherAssets': 101225000.0, 'netTangibleAssets': 2379596000.0, 'nonCurrentAssetsTotal': 1902428000.0, 'liabilitiesAndStockholdersEquity': 6318147000.0, 'totalLiab': 3770454000.0, 'totalCurrentLiabilities': 1947144000.0, 'shortTermDebt': 592858000.0, 'shortLongTermDebtTotal': 1988524000.0, 'capitalLeaseObligations': None, 'accountsPayable': 1021284000.0, 'otherCurrentLiab': 240831000.0, 'nonCurrentLiabilitiesTotal': 1823310000.0, 'longTermDebtTotal': 1394032000.0, 'longTermDebt': 1394032000.0, 'otherLiab': 414501000.0, 'deferredLongTermLiab': None, 'deferredLongTermAssetCharges': None, 'nonCurrentLiabilitiesOther': None, 'totalStockholderEquity': 2474097000.0, 'commonStockTotalEquity': None, 'commonStock': 64931000.0, 'commonStockSharesOutstanding': 257598114.0, 'additionalPaidInCapital': None, 'treasuryStock': None, 'preferredStockTotalEquity': None, 'preferredStockRedeemable': None, 'retainedEarningsTotalEquity': None, 'retainedEarnings': 556054000.0, 'accumulatedOtherComprehensiveIncome': 177080000.0, 'otherStockholderEquity': 1853112000.0, 'totalPermanentEquity': None, 'noncontrollingInterestInConsolidatedEntity': None, 'temporaryEquityRedeemableNoncontrollingInterests': None, 'accumulatedAmortization': None, 'negativeGoodwill': None, 'warrants': None, 'capitalSurpluse': 268000.0, 'date': '2022-12-31', 'filing_date': '2022-12-31', 'netDebt': 440484000.0, 'earningAssets': None, 'netWorkingCapital': 2468575000.0, 'netInvestedCapital': 4462621000.0}",ACX.MC,6318147000.0,2474097000.0,3844050000.0,1021284000.0,1548040000.0,6318147000.0,2022,0.0,Correcto
EUR,"{'totalAssets': 6098769000.0, 'totalCurrentAssets': 4321680000.0, 'cashAndShortTermInvestments': 1798034000.0, 'cash': 1793683000.0, 'shortTermInvestments': 4351000.0, 'netReceivables': 639849000.0, 'inventory': 1860535000.0, 'otherCurrentAssets': 23262000.0, 'nonCurrrentAssetsOther': 107645998.0, 'propertyPlantEquipment': None, 'propertyPlantAndEquipmentGross': 6074466000.0, 'accumulatedDepreciation': None, 'longTermInvestments': None, 'goodWill': 51064000.0, 'intangibleAssets': 41339000.0, 'otherAssets': 53823000.0, 'netTangibleAssets': None, 'nonCurrentAssetsTotal': 1777089000.0, 'liabilitiesAndStockholdersEquity': 6098769000.0, 'totalLiab': 3635643000.0, 'totalCurrentLiabilities': 1902446000.0, 'shortTermDebt': 843731000.0, 'shortLongTermDebtTotal': 2153710000.0, 'capitalLeaseObligations': None, 'accountsPayable': 794921000.0, 'otherCurrentLiab': 251193000.0, 'nonCurrentLiabilitiesTotal': 1750673000.0, 'longTermDebtTotal': None, 'longTermDebt': 1291156000.0, 'otherLiab': None, 'deferredLongTermLiab': None, 'deferredLongTermAssetCharges': None, 'nonCurrentLiabilitiesOther': None, 'totalStockholderEquity': 2408430000.0, 'commonStockTotalEquity': None, 'commonStock': 62334000.0, 'commonStockSharesOutstanding': 249260083.0, 'additionalPaidInCapital': None, 'treasuryStock': None, 'preferredStockTotalEquity': None, 'preferredStockRedeemable': None, 'retainedEarningsTotalEquity': None, 'retainedEarnings': 228128000.0, 'accumulatedOtherComprehensiveIncome': 38754999.0, 'otherStockholderEquity': 2117968000.0, 'totalPermanentEquity': None, 'noncontrollingInterestInConsolidatedEntity': None, 'temporaryEquityRedeemableNoncontrollingInterests': None, 'accumulatedAmortization': None, 'negativeGoodwill': None, 'warrants': None, 'capitalSurpluse': None, 'date': '2023-12-31', 'filing_date': '2023-12-31', 'netDebt': 360027000.0, 'earningAssets': None, 'netWorkingCapital': 2419234000.0, 'netInvestedCapital': 4543317000.0}",ACX.MC,6098769000.0,2408430000.0,3690339000.0,794921000.0,1793683000.0,6098769000.0,2023,0.0,Correcto
EUR,"{'totalAssets': 6469319000.0, 'totalCurrentAssets': 4052592000.0, 'cashAndShortTermInvestments': 1346102000.0, 'cash': 1262806000.0, 'shortTermInvestments': 83296000.0, 'netReceivables': 619107000.0, 'inventory': 2061560000.0, 'otherCurrentAssets': 25823000.0, 'nonCurrrentAssetsOther': 256870000.0, 'propertyPlantEquipment': None, 'propertyPlantAndEquipmentGross': 6224747000.0, 'accumulatedDepreciation': None, 'longTermInvestments': None, 'goodWill': 181482000.0, 'intangibleAssets': 136433000.0, 'otherAssets': None, 'netTangibleAssets': None, 'nonCurrentAssetsTotal': 2416727000.0, 'liabilitiesAndStockholdersEquity': 6469319000.0, 'totalLiab': 3894248000.0, 'totalCurrentLiabilities': 1876915000.0, 'shortTermDebt': 918737000.0, 'shortLongTermDebtTotal': 2383051000.0, 'capitalLeaseObligations': None, 'accountsPayable': 671711000.0, 'otherCurrentLiab': 209752000.0, 'nonCurrentLiabilitiesTotal': 2017333000.0, 'longTermDebtTotal': None, 'longTermDebt': 1464314000.0, 'otherLiab': None, 'deferredLongTermLiab': None, 'deferredLongTermAssetCharges': None, 'nonCurrentLiabilitiesOther': None, 'totalStockholderEquity': 2527317000.0, 'commonStockTotalEquity': None, 'commonStock': 62334000.0, 'commonStockSharesOutstanding': 249335371.0, 'additionalPaidInCapital': None, 'treasuryStock': None, 'preferredStockTotalEquity': None, 'preferredStockRedeemable': None, 'retainedEarningsTotalEquity': None, 'retainedEarnings': 224946000.0, 'accumulatedOtherComprehensiveIncome': None, 'otherStockholderEquity': 2240037000.0, 'totalPermanentEquity': None, 'noncontrollingInterestInConsolidatedEntity': None, 'temporaryEquityRedeemableNoncontrollingInterests': None, 'accumulatedAmortization': None, 'negativeGoodwill': None, 'warrants': None, 'capitalSurpluse': None, 'date': '2024-12-31', 'filing_date': '2024-12-31', 'netDebt': 1120245000.0, 'earningAssets': None, 'netWorkingCapital': 2175677000.0, 'netInvestedCapital': 4910368000.0}",ACX.MC,6469319000.0,2527317000.0,3942002000.0,671711000.0,1262806000.0,6469319000.0,2024,0.0,Correcto
