ticker,Año,Dividend_Yield
ACS.MC,2020,0.0987
ACS.MC,2021,0.0915
ACS.MC,2022,0.0858
ACS.MC,2023,0.0525
ACS.MC,2024,0.0421
ACS.MC,2025,0.0079
ACX.MC,2020,0.0856
ACX.MC,2021,0.0542
ACX.MC,2022,0.0631
ACX.MC,2023,0.0619
ACX.MC,2024,0.0677
ACX.MC,2025,0.0301
AENA.MC,2023,0.0316
AENA.MC,2024,0.0406
AENA.MC,2025,0.0428
AMS.MC,2020,0.0098
AMS.MC,2023,0.0117
AMS.MC,2024,0.0183
AMS.MC,2025,0.0071
ANA.MC,2020,0.0189
ANA.MC,2021,0.0257
ANA.MC,2022,0.0275
ANA.MC,2023,0.0354
ANA.MC,2024,0.045
ANE.MC,2022,0.0081
ANE.MC,2023,0.0255
ANE.MC,2024,0.0275
BBVA.MC,2020,0.0519
BBVA.MC,2021,0.0341
BBVA.MC,2022,0.074
BBVA.MC,2023,0.0635
BBVA.MC,2024,0.0748
BBVA.MC,2025,0.0336
BKT.MC,2020,0.0408
BKT.MC,2021,0.063
BKT.MC,2022,0.0507
BKT.MC,2023,0.0843
BKT.MC,2024,0.0689
BKT.MC,2025,0.0115
CABK.MC,2020,0.044
CABK.MC,2021,0.0162
CABK.MC,2022,0.0508
CABK.MC,2023,0.0719
CABK.MC,2024,0.1078
CABK.MC,2025,0.0422
CLNX.MC,2020,0.0013
CLNX.MC,2021,0.0014
CLNX.MC,2022,0.0006
CLNX.MC,2023,0.0017
CLNX.MC,2024,0.0023
COL.MC,2020,0.0292
COL.MC,2021,0.0304
COL.MC,2022,0.0437
COL.MC,2023,0.0399
COL.MC,2024,0.0521
ELE.MC,2020,0.0884
ELE.MC,2021,0.1098
ELE.MC,2022,0.0622
ELE.MC,2023,0.1191
ELE.MC,2024,0.0247
ELE.MC,2025,0.0191
ENG.MC,2020,0.0573
ENG.MC,2021,0.1121
ENG.MC,2022,0.136
ENG.MC,2023,0.1263
ENG.MC,2024,0.1222
FDR.MC,2020,0.0114
FDR.MC,2021,0.0128
FDR.MC,2022,0.0624
FDR.MC,2023,0.0381
FDR.MC,2024,0.0234
FER.MC,2020,0.0248
FER.MC,2021,0.0195
FER.MC,2022,0.0295
FER.MC,2023,0.0207
FER.MC,2024,0.0195
GRF.MC,2020,0.0068
GRF.MC,2021,0.0213
IAG.MC,2024,0.0083
IBE.MC,2020,0.0413
IBE.MC,2021,0.0469
IBE.MC,2022,0.0448
IBE.MC,2023,0.0448
IBE.MC,2024,0.042
IBE.MC,2025,0.0146
IDR.MC,2022,0.0146
IDR.MC,2023,0.0181
IDR.MC,2024,0.0146
ITX.MC,2020,0.0152
ITX.MC,2021,0.0221
ITX.MC,2022,0.0268
ITX.MC,2023,0.0264
ITX.MC,2024,0.0213
ITX.MC,2025,0.0175
LOG.MC,2020,0.1043
LOG.MC,2021,0.0879
LOG.MC,2022,0.0641
LOG.MC,2023,0.0666
LOG.MC,2024,0.0693
LOG.MC,2025,0.0502
MAP.MC,2020,0.1176
MAP.MC,2021,0.0966
MAP.MC,2022,0.0955
MAP.MC,2023,0.0824
MAP.MC,2024,0.0615
MAP.MC,2025,0.0
MRL.MC,2020,0.0251
MRL.MC,2021,0.0584
MRL.MC,2022,0.1502
MRL.MC,2023,0.0455
MRL.MC,2024,0.0413
MTS.MC,2021,0.0093
MTS.MC,2022,0.0144
MTS.MC,2023,0.0151
MTS.MC,2024,0.0197
NTGY.MC,2020,0.0955
NTGY.MC,2021,0.0561
NTGY.MC,2022,0.057
NTGY.MC,2023,0.0607
NTGY.MC,2024,0.0613
NTGY.MC,2025,0.0231
RED.MC,2020,0.0805
RED.MC,2021,0.0636
RED.MC,2022,0.0705
RED.MC,2023,0.0723
RED.MC,2024,0.0613
RED.MC,2025,0.0112
REP.MC,2020,0.1194
REP.MC,2021,0.0353
REP.MC,2022,0.0495
REP.MC,2023,0.0578
REP.MC,2024,0.0801
REP.MC,2025,0.0446
ROVI.MC,2020,0.0051
ROVI.MC,2021,0.0055
ROVI.MC,2022,0.0278
ROVI.MC,2023,0.0217
ROVI.MC,2024,0.0175
SAB.MC,2020,0.069
SAB.MC,2022,0.0667
SAB.MC,2023,0.05
SAB.MC,2024,0.0615
SAB.MC,2025,0.0474
SAN.MC,2021,0.0314
SAN.MC,2022,0.0435
SAN.MC,2023,0.0393
SAN.MC,2024,0.0456
SAN.MC,2025,0.0174
SCYR.MC,2020,0.05
SCYR.MC,2021,0.0476
SCYR.MC,2022,0.0489
SCYR.MC,2023,0.0479
SCYR.MC,2024,0.0452
SCYR.MC,2025,0.0245
TEF.MC,2020,0.1603
TEF.MC,2021,0.1136
TEF.MC,2022,0.1031
TEF.MC,2023,0.0912
TEF.MC,2024,0.0761
UNI.MC,2021,0.0143
UNI.MC,2022,0.0233
UNI.MC,2023,0.0641
UNI.MC,2024,0.0902
UNI.MC,2025,0.0412
