ticker,Año,Deuda_financiera,EBIT,deuda_financiera/EBIT
ACS.MC,2020,25185965000.0,1085166000.0,23.20932004872987
ACS.MC,2021,23389805000.0,119694000.0,195.41334569819708
ACS.MC,2022,24906904000.0,1080231000.0,23.057016508506052
ACS.MC,2023,23916928000.0,1349721000.0,17.71990507667881
ACS.MC,2024,27924345000.0,1836656000.0,15.203905902901795
ACX.MC,2020,2280575000.0,180451000.0,12.638195410388416
ACX.MC,2021,2511121000.0,815278000.0,3.0800794330277523
ACX.MC,2022,2822766000.0,899482000.0,3.1382128825257203
ACX.MC,2023,2895418000.0,456389000.0,6.344188838907161
ACX.MC,2024,3270291000.0,449716000.0,7.271902711933754
AENA.MC,2020,9382693000.0,-127602000.0,-73.5309242801837
AENA.MC,2021,10030338000.0,-672848000.0,-14.907286638289778
AENA.MC,2022,8858262000.0,1228943000.0,7.208033244829093
AENA.MC,2023,9655978000.0,2380614000.0,4.056087211114444
AENA.MC,2024,8438708000.0,2801428000.0,3.012288018824685
AMS.MC,2020,7372800000.0,-792600000.0,-9.302043906131718
AMS.MC,2021,6702100000.0,-95700000.0,-70.03239289446186
AMS.MC,2022,6252300000.0,969000000.0,6.452321981424149
AMS.MC,2023,5344400000.0,1451700000.0,3.681476889164428
AMS.MC,2024,5551200000.0,1653000000.0,3.358257713248639
ANA.MC,2020,11910263000.0,609659000.0,19.535942223439662
ANA.MC,2021,12142875000.0,796652000.0,15.242383123371308
ANA.MC,2022,13821000000.0,1160000000.0,11.914655172413793
ANA.MC,2023,19784000000.0,1134000000.0,17.44620811287478
ANA.MC,2024,22869000000.0,1423000000.0,16.070976809557273
ANE.MC,2021,5257865000.0,640000000.0,8.2154140625
ANE.MC,2022,5797000000.0,1147000000.0,5.054054054054054
ANE.MC,2023,8745000000.0,905000000.0,9.662983425414364
ANE.MC,2024,9963000000.0,758000000.0,13.143799472295514
BBVA.MC,2020,287181000000.0,2900000000.0,99.02793103448276
BBVA.MC,2021,211677000000.0,7247000000.0,29.20891403339313
BBVA.MC,2022,205383000000.0,9949000000.0,20.643582269574832
BBVA.MC,2023,,12419000000.0,
BBVA.MC,2024,,15405000000.0,
BKT.MC,2020,90960500000.0,201773000.0,450.8061038890238
BKT.MC,2021,102414372000.0,1472384000.0,69.55683571676954
BKT.MC,2022,101930187000.0,748437000.0,136.19073749694363
BKT.MC,2023,106977378000.0,1197265000.0,89.35146187352007
BKT.MC,2024,115627694000.0,,
CABK.MC,2020,425098000000.0,1338000000.0,317.711509715994
CABK.MC,2021,643328000000.0,4935000000.0,130.36028368794325
